HOSP_NAME,HOSP_TYPE,DISTRICT_NAME,SPECIALTY_NAME,HOSP_CONTACT_NO,HOSP_EMAIL_ID,HOSP_ADDRESS
Eye Q Vision Pvt Ltd,PrivateP,HARIDWAR,Opthalmology (S3) ,9717292625,shokat.ali@eyeqindia.com,"Eye Q Super Speciality Eye Hospital, Near Sindhi Sweets, Chanderpuri, Roorkee"
The Hans Foundation Eye Care A Unit of The Hans Foundation,PrivateNP,HARIDWAR,Opthalmology (S3) ,9456597822,tpa.ec@thfhospitals.org,Delhi Haridwar Highway
METRO HOSPITAL AND HEART INSTITUTE,PrivateP,HARIDWAR,"Otorhinolaryngology (S2) ,General Surgery (S1) ,Opthalmology (S3) ,Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ,Urology (S7) ,Neurosurgery (S8) ,Interventional Neuroradiology (S9) ,Plastic & reconstructive (S10) ,Surgical Oncology (S15) ,,General Medicine (M1) ,Paediatric medical management (M2) ,Paediatric cancer (M4) ,,Medical Oncology (M5) ,Radiation Oncology (M6) ,Emergency Room Packages (Care requiring less than 12 hrs stay) (M7) ,Mental Disorders Packages (M8) ",8191902633,tpa-hwr@metrohospitals.com,"PLOT NO. F-1, Sector-6A"
PRAGYA HOSPITAL AND PARAMEDICAL COLLEGE,PrivateNP,HARIDWAR,"General Medicine (M1) ,,Opthalmology (S3) ,Obstetrics & Gynaecology (S4) ,General Surgery (S1) ,Paediatric medical management (M2) ",9897161533,dineshtripathidr@gmail.com,NEAR PNB BANK SAHARANPUR ROAD JHABRERA 
Sanjeevani Hospital,PrivateP,HARIDWAR,"General Surgery (S1) ,Orthopaedics (S5) ,Paediatric medical management (M2) ,Obstetrics & Gynaecology (S4) ,Interventional Neuroradiology (S9) ",9719314634,vishalverma100@gmail.com,"sati kund, laksar road, kankhal Haridwar"
Quadra Hospital,PrivateP,HARIDWAR,General Surgery (S1) ,7830535239,quadracampus@rediffmail.com,"NH-58, Haridwar Rd, near Monfort School, Roorkee, Uttarakhand"
Shri Swami Bhumanand Hospital,PrivateNP,HARIDWAR,"Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ,,Paediatric cancer (M4) ,Otorhinolaryngology (S2) ,General Medicine (M1) ,General Surgery (S1) ,Paediatric medical management (M2) ,Opthalmology (S3) ",7742673605,quality@bhumanand.com,RANI PUR JHALL JWALAPUR HARIDWAR ROORKEE ROOD NH-58
VINAY VISHAL HEALTHCARE PVT.LTD ROORKEE,PrivateP,HARIDWAR,"Medical Oncology (M5) ,Orthopaedics (S5) ,Radiation Oncology (M6) ,General Medicine (M1) ,General Surgery (S1) ,Obstetrics & Gynaecology (S4) ,,Mental Disorders Packages (M8) ,Paediatric medical management (M2) ",9997110001,admvvhc@gmail.com,"89,New Nehru Nagar"
Aarogyam Hospital,PrivateNP,HARIDWAR,"Orthopaedics (S5) ,General Surgery (S1) ,Paediatric cancer (M4) ,General Medicine (M1) ,,Surgical Oncology (S15) ,Paediatric medical management (M2) ,Plastic & reconstructive (S10) ,Obstetrics & Gynaecology (S4) ,Otorhinolaryngology (S2) ",9258154007,info@amchroorkee.in,"N.H. 73, Village Karondhi, P.O. Bhagwanpur, Roorkee,Distt. Haridwar - 247667"
Kapoor Multispeciality Hospital,PrivateP,HARIDWAR,"Opthalmology                                                    (SE) ,General Surgery                                                 (SG) ,General Medicine                                                (MG) ,Obstetrics   Gynaecology                                        (SO) ,Orthopaedics                                                    (SB) ",9897111115,kapoorhospitalroorkee@gmail.com,"G.T Road, adjoining Rajwaha Bridge, Manglore "
bhatnagar nursing home,PrivateP,HARIDWAR,"Cardiology                                                      (MC) ,General Medicine                                                (MG) ,Paediatric Medical management                                   (MP) ",9634277570,theabhishek@gmail.com,"Bhatnagar Nursing Home, Ganeshpur"
Colonels Healthcare management Services,PrivateP,HARIDWAR,"General Surgery                                                 (SG) ,General Medicine                                                (MG) ,Orthopaedics                                                    (SB) ",7205231158,chms.colonelshospital@gmail.com,"Colonels Hospital Behind Hotel Centrum, Delhi Road"
Hemant Hospital,PrivateP,HARIDWAR,"General Medicine                                                (MG) ,General Surgery                                                 (SG) ,Obstetrics   Gynaecology                                        (SO) ,Urology                                                         (SU) ,Infectious Diseases (ID) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ",9536845083,hemanthospital234@gmail.com,Hemant Hospital Malviya Chowk Roorkee
SUSHRUT POLYCLINIC AND TRAUMA CENTRE,PrivateP,HARIDWAR,Orthopaedics                                                    (SB) ,7830000623,sumantuv@yahoo.co.in,"45, NEW HARIDWAR COLONY"
VEELIAN GIRI NURSING HOME,PrivateP,HARIDWAR,"Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,Neurosurgery                                                    (SN) ,Opthalmology                                                    (SE) ,Paediatric Medical management                                   (MP) ,Infectious Diseases (ID) ,Orthopaedics                                                    (SB) ,General Medicine                                                (MG) ,Obstetrics   Gynaecology                                        (SO) ,General Surgery                                                 (SG) ",7417977199,velliangirihospital@gmail.com,"NH-58 DELHI HARIDWAR ROAD OPP,HERO SHOWROOM (ROORKEE),DISTRICT-HARIDWAR"
SHRI DHRUV CHARITABLE  HOSPITAL,PrivateP,HARIDWAR,"Infectious Diseases (ID) ,Urology                                                         (SU) ,Orthopaedics                                                    (SB) ,Obstetrics   Gynaecology                                        (SO) ,Opthalmology                                                    (SE) ,General Surgery                                                 (SG) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,General Medicine                                                (MG) ",8979128775,dhruvhospital21@gmail.com,VILL AGE SAJANPUR PILI THANA SHYAMPUR NAZIBABAD ROAD HARIDWAR UTTARAKHAND
CITY HOSPITAL ,PrivateP,HARIDWAR,"General Medicine                                                (MG) ,Cardiology                                                      (MC) ,Neo-natal care Packages                                         (MN) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,Urology                                                         (SU) ,Plastic   reconstructive Surgery                                (SP) ,General Surgery                                                 (SG) ,Paediatric Medical management                                   (MP) ,Orthopaedics                                                    (SB) ,Obstetrics   Gynaecology                                        (SO) ,Opthalmology                                                    (SE) ,Otorhinolaryngology                                             (SL) ",9675501227,cityhospitalhdr@hotmail.com,super complex  ranipur more haridwar uttarakhand 
JAYA MAXWELL HOSPITAL ,PrivateP,HARIDWAR,"General Surgery                                                 (SG) ,Paediatric Medical management                                   (MP) ,Polytrauma                                                      (ST) ,Oral and Maxillofacial Surgery                                  (SM) ,Otorhinolaryngology                                             (SL) ,Urology                                                         (SU) ,Orthopaedics                                                    (SB) ,Obstetrics   Gynaecology                                        (SO) ,Neo-natal care Packages                                         (MN) ,Neurosurgery                                                    (SN) ",9897536677,jayamaxwell2020@gmail.com,Jaya Maxwell Hospital Nh-58 Bahadrabad Bypass Road Atmalpur Bongla Bahadrabad Haridwar Uttarakhand
BHAGWATIHOSPITALS PRIVATE LIMITED,PrivateP,HARIDWAR,General Surgery                                                 (SG) ,8899710005,BHAGWATIHOSP@YAHOO.CO.IN,325 CHAW MANDI ROORKEE
Deepak Savitri Global Hospital & Heart Care,PrivateNP,HARIDWAR,"Cardiology                                                      (MC) ,General Medicine                                                (MG) ,General Surgery                                                 (SG) ",7500170420,dsglobalhospital@gmail.com,"Chak No. 389, GATA No. 245/02, Asaf Nagar Delhi Road, Roorkee"
PRATAP NURSING HOME ,PrivateP,HARIDWAR,"Opthalmology (S3) ,General Surgery (S1) ,Obstetrics & Gynaecology (S4) ",9634010493,pranam82@gmail.com,641/1 CHAVMANDI
OJAS HOSPITAL,PrivateP,HARIDWAR,"Otorhinolaryngology (S2) ,General Surgery (S1) ,Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ,,General Medicine (M1) ,Paediatric medical management (M2) ,Paediatric cancer (M4) ,,Medical Oncology (M5) ",9634111100,drdeepak.hdr@gmail.com,sarai road jwalapur haridwar
LIFE LINE SUPERSPECIALITY AND KGN MEDICAL CENTRE,PrivateP,HARIDWAR,"General Surgery (S1) ,Paediatric medical management (M2) ",9997172761,drasifali7lifelinehrd@gmail.com,P.A.C ROAD RANIPUR GAO JWALAPUR
naveen eye hospital,PrivateP,HARIDWAR,Opthalmology (S3) ,9917156194,naveeneyeh@gmail.com,"Naveen eye hospital,Malviya chowk,Dehradoon road, Roorkee"
Ganga Mata Charitable Eye Hospital,PrivateNP,HARIDWAR,Opthalmology                                                    (SE) ,8077989877,gmeh.hdr@gmail.com,Saptrishi Link Road Haridwar
Soban Singh Jeena Base Hospital,Public,NAINITAL,",General Medicine (M1) ,Paediatric medical management (M2) ,Paediatric cancer (M4) ,Opthalmology (S3) ,Radiation Oncology (M6) ,Otorhinolaryngology (S2) ,General Surgery (S1) ,Neurosurgery (S8) ,Orthopaedics (S5) ,Paediatric surgery (S14) ",9732567581,basehospitalhld@gmail.com,soban singh jeena base hospital 
B D PANDEY DISTT MALE HOSPITAL NAINITAL,Public,NAINITAL,"Otorhinolaryngology (S2) ,Medical Oncology (M5) ,Mental Disorders Packages (M8) ,General Surgery (S1) ,Opthalmology (S3) ,Orthopaedics (S5) ,,Paediatric medical management (M2) ,Paediatric cancer (M4) ",9412084522,bd.pandey46@yahoo.com,"MALLITAL, NAINITAL"
B D PANDEY  DISTRICT FEMALE HOSPITAL NAINITAL,Public,NAINITAL,Obstetrics & Gynaecology (S4) ,7310807288,bdpfhntl1@gmail.com,MALLITAL NAINITAL 
chc ramgarh,Public,NAINITAL,,9410111273,chcramghar@gmail.com,kumaun / COMMUNITY HEALTH CENTRE RAMGRAH
Female Hospital,Public,NAINITAL,Obstetrics & Gynaecology (S4) ,9997333402,anand79_p@rediffmail.com,female hospital haldwani kaladungi chaowk
Ramdutt Joshi Govt. Combined Hospital Ramnagar,Public,NAINITAL,"Paediatric cancer (M4) ,Paediatric medical management (M2) ,",9568184000,chramnagar@rediffmail.com,RAMNAGAR
chc bhimtal,Public,NAINITAL,"Obstetrics & Gynaecology (S4) ,Opthalmology (S3) ,Paediatric cancer (M4) ,General Surgery (S1) ,",8279764968,chcbhimtalntl@gmail.com,CHC BHIMTAL
CHC KOTABAGH,Public,NAINITAL,,7579436993,chckotabagh@gmail.com,AWALAKOT KOTABAGH
GB Pant Hospital,Public,NAINITAL,"General Surgery (S1) ,Paediatric medical management (M2) ,Obstetrics & Gynaecology (S4) ",9548980449,suptdgbpantntl@gmail.com,Tallital nainital
CHC Bhawali,Public,NAINITAL,Paediatric medical management (M2) ,9719318444,chcbhowali@gmail.com,Bhowali Nainital
CHC Betalghat,Public,NAINITAL,Paediatric medical management (M2) ,7409074096,chcbetalghat@gmail.com,Betalghat Nainital
CHC garampani,Public,NAINITAL,Paediatric medical management (M2) ,7409074096,chc.garampani@gmail.com,chhara
CHC Kaladungi,Public,NAINITAL,Paediatric medical management (M2) ,9675951305,chckaladhungi@gmail.com,Kaladhungi
CHC Suyalbari,Public,NAINITAL,Paediatric medical management (M2) ,7500559120,chc.suyalbari@gmail.com,Suyalbari
Susheela Tiwari Government Hospital,Public,NAINITAL,"Follow up Surgical (M13) ,Otorhinolaryngology (S2) ,Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ,Paediatric surgery (S14) ,Paediatric medical management (M2) ,Paediatric cancer (M4) ,General Surgery (S1) ,,Mental Disorders Packages (M8) ,Opthalmology (S3) ",8869012233,principal.gmchld@rediffmail.com,"STGH, Rampur Road, Haldwani"
Eye Q Vision Pvt Ltd,PrivateP,NAINITAL,Opthalmology (S3) ,9717292625,cashless@eyeqindia.com,"Eye Q Super Speciality Eye Hospital, 8/6 Bhotia Padao Nanital Road, Haldwani"
CITY HOSPITAL AND RESEARCH CENTRE,PrivateNP,NAINITAL,"Paediatric medical management (M2) ,General Surgery (S1) ,Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ,Otorhinolaryngology (S2) ,Paediatric cancer (M4) ,Mental Disorders Packages (M8) ",9837350453,hospitalcity@ymail.com,TEENPANI BAREILLY ROAD HALDWANI
BOMBAY HOSPITAL AND RESEARCH CENTRE,PrivateP,NAINITAL,",Surgical Oncology (S15) ,Obstetrics & Gynaecology (S4) ,Paediatric medical management (M2) ,Otorhinolaryngology (S2) ,,Paediatric cancer (M4) ,Emergency Room Packages (Care requiring less than 12 hrs stay) (M7) ,Mental Disorders Packages (M8) ,Orthopaedics (S5) ,Plastic & reconstructive (S10) ,General Medicine (M1) ,Paediatric surgery (S14) ,Opthalmology (S3) ,General Surgery (S1) ",9917466072,bombayhospital36@yahoo.com,NEAR SAURABH HOTEL AVAS VIKAS ROAD 
VEDANTA NETRALYA LLP,PrivateP,NAINITAL,Opthalmology (S3) ,9917954901,tpavedantanetralya@gmail.com,"Canal road, Tikonia, Opposit Durga City Center"
RAHI CARE PVT LTD ,PrivateP,NAINITAL,Radiation Oncology (M6) ,7607076070,Haldwani@rahicare.com,"Agarwal Bhawan ,Near M.B.P.G College , Nainital Road, Haldwani  "
Brijesh Hospital,PrivateP,NAINITAL,"General Surgery (S1) ,Interventional Neuroradiology (S9) ,Obstetrics & Gynaecology (S4) ",9761063002,agarwal.dr@gmail.com,shivlalpur near axis bank
BRIJ LAL HOSPITAL & RESEARCH CENTRE PVT.LTD.,PrivateP,NAINITAL,"Obstetrics   Gynaecology                                        (SO) ,Otorhinolaryngology                                             (SL) ,General Medicine                                                (MG) ,Orthopaedics                                                    (SB) ,Polytrauma                                                      (ST) ,General Surgery                                                 (SG) ,Cardiology                                                      (MC) ",8533838306,shekharkumar.59@gmail.com,ANANDI TOWER NAINITAL ROAD
Baba Neem Karori Multispecialty Hospital & Trauma Centre,PrivateNP,NAINITAL,"General Surgery                                                 (SG) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,Obstetrics   Gynaecology                                        (SO) ,Orthopaedics                                                    (SB) ,Polytrauma                                                      (ST) ,General Medicine                                                (MG) ,Oral and Maxillofacial Surgery                                  (SM) ",7300919149,bnkhospitals@gmail.com,"Peerumadara, Ramnagar Road, Ramnagar-244715"
Sai Hospital,PrivateP,NAINITAL,"Urology                                                         (SU) ,General Medicine                                                (MG) ,General Surgery                                                 (SG) ,Orthopaedics                                                    (SB) ",9634730285,saihospital.sati@gmail.com,KALADHUNGI ROAD MUKHANI CHAURAHA HALDWANI NAINITAL UTTRAKHAND (263139)
Ujala Cygnus Central Hospital,PrivateP,NAINITAL,"General Medicine                                                (MG) ,Interventional Neuroradiology                                   (IN) ,Neurosurgery                                                    (SN) ,Urology                                                         (SU) ,Orthopaedics                                                    (SB) ,Cardiology                                                      (MC) ",8700274206,dr.navneet_ujalacygnus90@outlook.com,"Near Gas godam tiraha, Kaladungi road, Kusumkhera"
SHUBHANU EYE HOSPITAL,PrivateP,NAINITAL,Opthalmology                                                    (SE) ,7466073214,amshubhanueyehospital@gmail.com," 1st floor , kholi tower, civil lines , Thandi sadak , haldwani "
ANURJUN MATERNITY & LAPAROSCOPY SURGICAL CENTRE,PrivateP,NAINITAL,"General Medicine                                                (MG) ,Urology                                                         (SU) ,Orthopaedics                                                    (SB) ,General Surgery                                                 (SG) ,Paediatric Medical management                                   (MP) ",9719509659,anurjunhospital@gmail.com,"Behind Nainital Bank, Kaladhungi Road, Pilikothi, Haldwani-263139, Nainital (Uttarakhand)"
DRISHTI CENTRE FOR ADVANCED EYE CARE,PrivateP,NAINITAL,Opthalmology (S3) ,9557158557,drishtieyecarehld@gmail.com,"DURGA CITY CENTRE, NEAR MB DEGREE COLLEGE"
CHC BIRONKHAL,Public,PAURI GARHWAL,",Paediatric medical management (M2) ",9690655987,bpmubironkhal1@gmail.com,CHC BIRONKHAL
District Women Hospital Pauri,Public,PAURI GARHWAL,Obstetrics & Gynaecology (S4) ,9412983558,cms.pauri.female@gmail.com,District Female Hospital
District Hospital Pauri ,Public,PAURI GARHWAL,"Paediatric cancer (M4) ,General Surgery (S1) ,Otorhinolaryngology (S2) ,Opthalmology (S3) ,Orthopaedics (S5) ,Interventional Neuroradiology (S9) ,,General Medicine (M1) ,Paediatric medical management (M2) ",8006998557,cmspauri37@gmail.com,DISTRICT HOSPITAL PAURI
CHC Pabau,Public,PAURI GARHWAL,"Paediatric medical management (M2) ,,Obstetrics & Gynaecology (S4) ",7351545495,bpmupabau1@gmail.com,"CHC Pabau, Block-Pabau,district-Pauri Garhwal"
CHC GHANDIYAL,Public,PAURI GARHWAL,Paediatric medical management (M2) ,7906403982,sndthplyl1533@gmail.com,CHC GHANDIYAL PAURI GARHWAL
CHC Nanidanda,Public,PAURI GARHWAL,Paediatric medical management (M2) ,9639741841,bpmunainidanda@gmail.com,CHC Nainidanda
HNB BASE TEACHING HOSPITAL SRINAGAR GARHWAL,Public,PAURI GARHWAL,"Otorhinolaryngology (S2) ,Opthalmology (S3) ,Follow up Surgical (M13) ,Obstetrics & Gynaecology (S4) ,General Medicine (M1) ,Orthopaedics (S5) ,Paediatric medical management (M2) ,Paediatric cancer (M4) ,General Surgery (S1) ,",8954226416,vcsggimsr@gmail.com,SRINAGAR GARHWAL
CHC THALISAIN,Public,PAURI GARHWAL,Paediatric medical management (M2) ,9627947572,bpmuthalisain@gmail.com,CHC Thalisain Pauri garhwal
GOVT BASE HOSPITAL KOTDWARA,Public,PAURI GARHWAL,"Paediatric medical management (M2) ,General Surgery (S1) ,Otorhinolaryngology (S2) ,Opthalmology (S3) ,Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ,Paediatric cancer (M4) ,",9045101602,preetam.nirankari@gmail.com,GOVT BASE HOSPITAL KOTDWARA
Government Combined Hospital Srinagar Garhwal,Public,PAURI GARHWAL,"Obstetrics & Gynaecology (S4) ,Paediatric cancer (M4) ,Paediatric medical management (M2) ,,General Surgery (S1) ",7465812178,med.supdt.sri@gmail.com,Govt.Combined Sub district Hospital  Srinagar Garhwal
KOTDWAR EYE HOSPITAL AND HEALTHCARE,PrivateP,PAURI GARHWAL,Opthalmology (S3) ,9412081956,kdreyehospital99@yahoo.co.in,"Badrinath Marg, Lower Kalabarh,"
The hans Foundation General Hospital Aunit of hans caltural center,PrivateNP,PAURI GARHWAL,"Opthalmology (S3) ,,Paediatric medical management (M2) ,Orthopaedics (S5) ,General Medicine (M1) ,Obstetrics & Gynaecology (S4) ,General Surgery (S1) ,Surgical Oncology (S15) ",7455042015,vimal.bhatt@thfhospitals.org,"The Hans Foundation General Hospital, Dayalpuram Chamoli Sain Banghat Road, Satpuli"
MAA KAMAKHYA MULTISPECIALITY HOSPITAL,PrivateP,PAURI GARHWAL,"General Surgery                                                 (SG) ,General Medicine                                                (MG) ",8585971169,kamakhya.ayushman@yahoo.com,OPP. DEVI MANDIR PADAMPUR SUKHRO KOTDWAR
B D Pandey District Hospital,Public,PITHORAGARH,"Orthopaedics (S5) ,,General Medicine (M1) ,Opthalmology (S3) ,Paediatric medical management (M2) ,Paediatric cancer (M4) ,Mental Disorders Packages (M8) ,Neurosurgery (S8) ,General Surgery (S1) ,Otorhinolaryngology (S2) ",9997625756,pmsdhpth@gmail.com,Bank Road Pithoragarhban
H G PANT FEMALE HOSPITAL,Public,PITHORAGARH,"Paediatric medical management (M2) ,Paediatric cancer (M4) ,Obstetrics & Gynaecology (S4) ,General Surgery (S1) ",9917182196,cms.fh.pithoragarh@gmail.com,GANDHI CHAWK  PITHORAGARH
CHC DIDIHAT,Public,PITHORAGARH,"General Surgery (S1) ,Paediatric medical management (M2) ",8449381797,DIDIHATCHC@gmail.com,CHC Didihat
CHC Gangolihat,Public,PITHORAGARH,"Paediatric medical management (M2) ,General Surgery (S1) ",9756247094,chcgangolihat@gmail.com,CHC GANGOLIHAT
CH DHARCHULA,Public,PITHORAGARH,"Paediatric medical management (M2) ,General Surgery (S1) ",9458852576,chcdharchula@gmail.com,Combined hospital Dharchula
CHC MUNSYARI,Public,PITHORAGARH,"Paediatric medical management (M2) ,General Surgery (S1) ",8958031633,chcmunsyari@gmail.com,CHC MUNSYAI
CHC BERINAG,Public,PITHORAGARH,Paediatric medical management (M2) ,7078585501,phcberinag@gmail.com,chc berinag
Sanjeevani Hospital and Medicose,PrivateP,PITHORAGARH,"Infectious Diseases (ID) ,General Medicine                                                (MG) ,Paediatric Medical management                                   (MP) ,Neo-natal care Packages                                         (MN) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,General Surgery                                                 (SG) ,Burns Management                                                (BM) ,Oral and Maxillofacial Surgery                                  (SM) ,Opthalmology                                                    (SE) ,Obstetrics   Gynaecology                                        (SO) ,Orthopaedics                                                    (SB) ,Polytrauma                                                      (ST) ",7088837333,sanjeevani.tpadesk@gmail.com,Panda Bypass 
Renu Jagdish Diagnostic and Trauma Centre,PrivateP,PITHORAGARH,Orthopaedics                                                    (SB) ,8587072095,rjhospital01@gmail.com,Near Aptech Tiraha GIC Road Pithoragarh
Dictrict Hospital Rudraprayag,Public,RUDRA PRAYAG,"Otorhinolaryngology (S2) ,Paediatric cancer (M4) ,Paediatric medical management (M2) ,Obstetrics & Gynaecology (S4) ,General Surgery (S1) ,,Opthalmology (S3) ,Orthopaedics (S5) ",8938062775,laxmichaudhary599@gmail.com,District Hospital Rudraprayag
CHC  JAKHOLI,Public,RUDRA PRAYAG,,7668827614,bpmujak@gmail.com,CHC JAKHOLI
CHC Augustmuni,Public,RUDRA PRAYAG,Paediatric medical management (M2) ,9501968083,mamta2126@gmail.com,CHC Augustmuni
DH BAURARI123,Public,TEHRI GARHWAL,"Paediatric cancer (M4) ,Obstetrics & Gynaecology (S4) ,Paediatric medical management (M2) ,,Orthopaedics (S5) ,General Surgery (S1) ,Otorhinolaryngology (S2) ,Opthalmology (S3) ",9634232415,mstehri@gmail.com,"District hospital Baurari, New Tehri"
CHC THATYUR,Public,TEHRI GARHWAL,Paediatric medical management (M2) ,9897253192,bpmuthatyure@gmail.com,THATYUR
Sridev Suman Government Combined Hospital,Public,TEHRI GARHWAL,"Paediatric medical management (M2) ,Opthalmology (S3) ,Obstetrics & Gynaecology (S4) ,Paediatric cancer (M4) ",9456389163,surender.dhamanda@gmail.com,Narendranagar Tehri Garhwal 
CHC HINDOLAKHAL,Public,TEHRI GARHWAL,Paediatric medical management (M2) ,9997206352,bpmudevprayag3@gamil.com,CHC HINDOLAKHAL
CHC PRATAPNAGAR,Public,TEHRI GARHWAL,Paediatric medical management (M2) ,9557326217,kalura.arvind2@gmail.com,pratapnagar
CHC KIRTINAGAR,Public,TEHRI GARHWAL,Paediatric medical management (M2) ,8218103085,bhandarirajni878@gmail.com,community health center kirtinagar
CHC CHAMBA,Public,TEHRI GARHWAL,Paediatric medical management (M2) ,9456372519,bpmuchamba@gmail.com,Block road chamba
CHC BELESHWAR,Public,TEHRI GARHWAL,Paediatric medical management (M2) ,7310516159,bpmupilkhi@gmail.com,VILL- BELESHWAR P.O CHAMIYALA
CHC CHAM,Public,TEHRI GARHWAL,Paediatric medical management (M2) ,7037262587,bpmuchaam@gmail.com,CHC CHAAM
CHC DEVPRAYAG,Public,TEHRI GARHWAL,Paediatric medical management (M2) ,8505988106,bpmudevprayag@gmail.com,CHC DEVPRAYAG
JAWAHAR LAL NEHRU DISTRICT HOSPITAL,Public,UDAM SINGH NAGAR,,9411108242,qmujlnusn@gmail.com,HALDWANI ROAD RUDRAPUR
Civil Hospital Khatima,Public,UDAM SINGH NAGAR,"Radiation Oncology (M6) ,,Orthopaedics (S5) ,Obstetrics & Gynaecology (S4) ,Opthalmology (S3) ,General Surgery (S1) ,Paediatric cancer (M4) ,Paediatric medical management (M2) ,Burns management (S11) ,Interventional Neuroradiology (S9) ",7895679678,chckhatima@gmail.com,"Sitarganj Road, Khatima"
chc sitarganj,Public,UDAM SINGH NAGAR,"Obstetrics & Gynaecology (S4) ,General Surgery (S1) ,Orthopaedics (S5) ,Paediatric medical management (M2) ",7668387542,chcsitarganj@gmail.com,MAHARANA PRATAP CHOWK  SITARGANJ
SBBPCHCKICHHA,Public,UDAM SINGH NAGAR,,9870730791,CHCKICHHA@GMAIL.COM,MAIN MARKET
CHC JASPUR,Public,UDAM SINGH NAGAR,,7830483550,chcjaspurusnuk@gmail.com,CHC JASPUR MOH. BHOOP SINGH
CHC Gadarpur,Public,UDAM SINGH NAGAR,,8273078650,chcgadarpur1@gmail.com,CHC Gadarpur Kashipur Road Gadarpur 
CHC Bazpur,Public,UDAM SINGH NAGAR,,9105480170,chcbajpur@gmail.com,RAMRAJ ROAD
LDB SUB DISTRICT HOSPITAL,Public,UDAM SINGH NAGAR,Paediatric medical management (M2) ,8447746879,ravindrakpv@gmail.com,"Ramnagar Road,Kashipur"
Agarwal ortho care and trauma centre,PrivateP,UDAM SINGH NAGAR,Orthopaedics (S5) ,9027075332,dr.agarwalankur@rediffmail.com,"Moradabad road,near Dr Ila Mehrotra nursing home,kashipur"
CHAMUNDA HOSPITAL AND LAPROSCOPIC CENTRE PVT LTD,PrivateNP,UDAM SINGH NAGAR,"Radiation Oncology (M6) ,General Medicine (M1) ,Orthopaedics (S5) ,,Paediatric medical management (M2) ,Paediatric cancer (M4) ,Interventional Neuroradiology (S9) ,Paediatric surgery (S14) ,Obstetrics & Gynaecology (S4) ,General Surgery (S1) ",9897500696,yashpal_ksp28@rediffmail.com,CHAMUNDA HOSPITAL AND LAPROSCOPIC CENTER 
UJALA HEALTHCARE SERVICES LTD,PrivateP,UDAM SINGH NAGAR,"Emergency Room Packages (Care requiring less than 12 hrs stay) (M7) ,Medical Oncology (M5) ,General Medicine (M1) ,Oral and Maxillofacial Surgery (S16) ,Surgical Oncology (S15) ,Paediatric surgery (S14) ,Cardio-thoracic & Vascular surgery (S13) ,Cardiology (S12) ,Plastic & reconstructive (S10) ,Burns management (S11) ,Otorhinolaryngology                                             (SL) ,Paediatric Medical management                                   (MP) ,Neo-natal care Packages                                         (MN) ,Mental Disorders Packages (M8) ,Radiation Oncology (M6) ,Oral and Maxillofacial Surgery                                  (SM) ,General Medicine                                                (MG) ,General Surgery (S1) ,Urology                                                         (SU) ,Cardio-thoracic   Vascular surgery                              (SV) ,Opthalmology (S3) ,Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ,Neurosurgery (S8) ",8006555101,tpaujalahospital@gmail.com,"Kachnal Ghazi, Manpur Road"
Anand Hospital And Research Centre,PrivateP,UDAM SINGH NAGAR,"Obstetrics & Gynaecology (S4) ,Paediatric cancer (M4) ,General Surgery (S1) ,General Medicine (M1) ,Mental Disorders Packages (M8) ,Paediatric medical management (M2) ,Orthopaedics (S5) ",9219828888,anandhospital2011@gmail.com,"Sitarganj Road, Khatima"
Tapan Hospital and Researcha Centre,PrivateP,UDAM SINGH NAGAR,"Orthopaedics (S5) ,,Radiation Oncology (M6) ,General Medicine (M1) ,,Burns management (S11) ,Plastic & reconstructive (S10) ,Neurosurgery (S8) ,Obstetrics & Gynaecology (S4) ,Opthalmology (S3) ,Emergency Room Packages (Care requiring less than 12 hrs stay) (M7) ,Mental Disorders Packages (M8) ,Otorhinolaryngology (S2) ,General Surgery (S1) ,Paediatric medical management (M2) ,Paediatric cancer (M4) ",7500264808,sanjaysharma.sistem@gmail.com,Sitarganj Road Khatima
SHREE RAM EYE CARE AND NURSING HOME,PrivateP,UDAM SINGH NAGAR,"Obstetrics & Gynaecology (S4) ,Opthalmology (S3) ",7055280006,shreerameyecare@gmail.com,"DOCTOR COLONY, CIVIL LINE"
I Sight super speciality eye care centre ,PrivateP,UDAM SINGH NAGAR,Opthalmology (S3) ,8574627459,isighteyecentreac@gmail.com,lane no. 1 doctor colony civil line
Hi Tech Hospital,PrivateP,UDAM SINGH NAGAR,Opthalmology                                                    (SE) ,9837120191,drsatanshumathur@gmail.com,Girital Road KASHIPUR
